group,sample
CD11clo_mic_NZBW_IFN_adV_180320,CD11clo_mic_NZBW_IFN_adV_9_180320
CD11clo_mic_NZBW_IFN_adV_180320,CD11clo_mic_NZBW_IFN_adV_8_180320
CD11clo_mic_NZBW_IFN_adV_180320,CD11clo_mic_NZBW_IFN_adV_7_180320
CD11clo_mic_NZBW_IFN_adV_180320,CD11clo_mic_NZBW_IFN_adV_6_180320
CD11clo_mic_NZBW_IFN_adV_180320,CD11clo_mic_NZBW_IFN_adV_10_180320
CD11clo_mic_NZBWcostimblock_180418,CD11clo_mic_NZBWcostimblock_4_180418
CD11clo_mic_NZBWcostimblock_180418,CD11clo_mic_NZBWcostimblock_3_180418
CD11clo_mic_NZBWcostimblock_180418,CD11clo_mic_NZBWcostimblock_2_180418
CD11clo_mic_NZBWcostimblock_180418,CD11clo_mic_NZBWcostimblock_1_180418
CD11clo_mic_NZBW,CD11clo_mic_NZBW_5_180320
CD11clo_mic_NZBW,CD11clo_mic_NZBW_4_180418
CD11clo_mic_NZBW,CD11clo_mic_NZBW_4_180320
CD11clo_mic_NZBW,CD11clo_mic_NZBW_3_180418
CD11clo_mic_NZBW,CD11clo_mic_NZBW_3_180320
CD11clo_mic_NZBW,CD11clo_mic_NZBW_2_180418
CD11clo_mic_NZBW,CD11clo_mic_NZBW_2_180320
CD11clo_mic_NZBW,CD11clo_mic_NZBW_1_180418
CD11clo_mic_NZBW,CD11clo_mic_NZBW_1_180320
CD11chi_mic_NZBW_IFN_adV_180320,CD11chi_mic_NZBW_IFN_adV_9_180320
CD11chi_mic_NZBW_IFN_adV_180320,CD11chi_mic_NZBW_IFN_adV_8_180320
CD11chi_mic_NZBW_IFN_adV_180320,CD11chi_mic_NZBW_IFN_adV_7_180320
CD11chi_mic_NZBW_IFN_adV_180320,CD11chi_mic_NZBW_IFN_adV_6_180320
CD11chi_mic_NZBW_IFN_adV_180320,CD11chi_mic_NZBW_IFN_adV_10_180320
CD11chi_mic_NZBWcostimblock_180418,CD11chi_mic_NZBWcostimblock_4_180418
CD11chi_mic_NZBWcostimblock_180418,CD11chi_mic_NZBWcostimblock_3_180418
CD11chi_mic_NZBWcostimblock_180418,CD11chi_mic_NZBWcostimblock_2_180418
CD11chi_mic_NZBWcostimblock_180418,CD11chi_mic_NZBWcostimblock_1_180418
CD11chi_mic_NZBW,CD11chi_mic_NZBW_5_180320
CD11chi_mic_NZBW,CD11chi_mic_NZBW_4_180418
CD11chi_mic_NZBW,CD11chi_mic_NZBW_4_180320
CD11chi_mic_NZBW,CD11chi_mic_NZBW_3_180418
CD11chi_mic_NZBW,CD11chi_mic_NZBW_3_180320
CD11chi_mic_NZBW,CD11chi_mic_NZBW_2_180418
CD11chi_mic_NZBW,CD11chi_mic_NZBW_2_180320
CD11chi_mic_NZBW,CD11chi_mic_NZBW_1_180418
CD11chi_mic_NZBW,CD11chi_mic_NZBW_1_180320